lm_halo,n_sats_halo
10.142588,0
12.262719,16
10.046786,0
10.64329,1
10.180283,0
12.17704,11
9.967301,0
11.291283,1
11.568107,1
11.941449,11
10.89496,0
10.8181715,1
11.396633,3
13.391298,212
12.1384945,11
10.816985,2
11.040547,4
9.978471,1
10.498214,0
10.081698,0
11.916619,13
10.097452,0
13.047696,102
10.242584,0
10.183001,0
10.602638,0
10.099013,1
10.090377,0
9.972726,0
10.207553,0
11.136189,1
10.866381,2
10.253139,0
10.022882,0
9.975208,0
11.032802,2
10.722001,2
11.140361,1
11.691496,4
10.014721,0
10.12623,0
10.562199,0
10.113887,0
10.931585,0
10.283488,2
10.220851,1
9.99738,0
10.404597,0
11.963189,12
10.216588,1
10.086679,0
10.259188,1
11.285008,2
11.597512,6
10.965712,0
11.47386,3
11.225593,0
10.756376,2
10.873038,0
12.699575,45
10.874128,1
11.468037,5
11.144984,1
11.691618,4
12.184992,12
11.363027,2
11.405822,2
10.430792,0
10.047695,0
10.762808,2
13.037065,107
10.37901,1
12.689367,41
10.934991,0
10.075512,0
10.2594795,1
10.015837,0
11.07405,2
12.149552,13
10.171928,0
11.004868,2
9.980328,0
9.915797,0
10.912723,0
12.587926,30
10.062082,0
10.884746,1
11.194425,2
12.435724,17
10.9295435,1
10.675976,0
11.273265,4
11.3015995,4
10.705216,1
10.034558,0
12.510553,22
10.101989,1
12.95884,90
10.050403,0
11.742951,3
9.944042,0
10.218334,0
10.50866,0
10.550538,0
10.19245,0
12.395369,25
10.667747,2
10.385531,0
10.656204,0
10.211927,0
10.944995,0
10.445427,0
10.780506,2
10.260696,0
10.078202,0
11.470345,4
10.088762,0
11.0349455,4
10.300832,0
10.486418,0
10.548783,1
10.555136,0
10.016453,0
11.203539,3
11.400887,2
10.436022,0
10.945469,1
10.203949,0
10.183725,0
11.219664,3
10.022502,0
10.10899,2
10.776425,0
10.814694,0
11.819267,10
10.905176,1
10.964881,1
10.948829,2
11.911666,8
10.680224,0
10.393406,1
11.2043705,3
11.138743,3
9.940838,2
11.094004,3
10.766494,0
9.933202,0
10.802453,0
10.357372,0
9.91444,0
12.376586,20
11.082229,3
10.068072,0
11.809754,4
11.519641,2
11.207639,4
12.958194,94
12.479919,27
11.836715,9
10.402063,0
10.402614,0
11.00888,2
11.847657,5
11.372665,2
10.60633,0
10.082614,0
11.209588,3
10.439446,1
10.743062,2
12.330449,23
10.069002,1
12.721996,50
10.105666,0
10.120597,0
10.682923,1
11.657916,6
10.133957,1
12.82668,65
10.685246,0
12.623129,32
10.595749,1
11.708664,7
12.311967,19
10.555856,1
10.972606,1
13.123548,124
10.232417,1
12.122911,11
11.317881,1
11.737751,5
13.039814,127
10.777762,1
10.256962,1
9.934543,0
