kind,n_sats_halo,log_luminosity_r01
0,0,7.961471
0,0,7.8070655
0,0,7.9721866
0,11,10.266684
0,0,7.521962
0,1,9.701169
0,0,8.835383
0,1,8.896317
0,3,9.59278
0,11,10.476526
0,2,8.735769
0,4,9.187343
0,1,7.6730137
0,0,8.645772
0,0,7.650275
0,0,7.7793984
0,0,8.062047
0,0,7.7667937
0,0,8.801761
0,1,7.9520593
0,0,7.754898
0,0,7.6363115
0,0,7.791216
0,2,8.793669
0,0,8.255823
0,0,7.740635
0,0,7.6934104
0,1,9.261388
0,0,7.724299
0,0,7.850413
0,0,8.686704
0,0,8.088478
0,0,9.098352
0,0,7.7604265
0,0,8.266732
0,1,7.8682384
0,0,7.804202
0,2,9.581945
0,0,9.259337
0,3,9.8165865
0,0,9.408743
0,2,8.944149
0,0,9.111042
0,1,9.039243
0,5,9.715089
0,1,9.208039
0,4,9.926128
0,2,9.56655
0,2,9.747367
0,0,8.454877
0,0,7.6622014
0,0,8.999629
0,0,7.7156787
0,1,8.091565
0,0,7.7501736
0,2,9.405077
0,0,7.9210067
0,0,7.7759347
0,0,7.5187726
0,0,8.981508
0,0,7.709773
0,0,8.672633
0,1,8.900742
0,0,7.7741003
0,1,7.7623835
0,0,7.6233897
0,0,7.666664
0,0,7.947867
0,0,8.531501
0,0,8.709433
0,0,7.9039445
0,0,8.31107
0,0,8.711934
0,0,7.9786983
0,0,9.0448885
0,0,8.566506
0,0,8.074773
0,0,7.875434
0,0,7.8932514
0,0,8.1801
0,0,8.530677
0,1,8.581424
0,0,8.531657
0,0,7.912912
0,0,8.079256
0,0,8.146268
0,0,8.025772
0,0,7.6473207
0,2,8.021722
0,0,8.978608
0,0,8.94455
0,1,9.024963
0,1,9.196958
0,2,9.204861
0,0,8.372977
0,1,8.122004
0,3,9.472229
0,2,7.4378524
0,0,8.820424
0,0,7.444934
0,0,9.027177
0,0,8.35631
0,0,7.771283
0,0,7.672165
0,0,8.158738
0,0,8.172764
0,0,8.505959
0,0,7.806142
0,1,8.176614
0,0,7.8391457
0,0,7.8039637
0,1,7.598455
0,0,8.774723
0,1,8.573025
0,1,8.597001
0,1,8.840175
0,1,7.98962
0,1,8.693708
0,1,8.073527
0,0,7.5072985
0,1,8.381157
0,1,7.74878
0,3,9.672066
0,0,7.816092
0,0,7.75721
0,0,8.337299
0,0,7.9804187
0,0,8.236029
0,1,7.885315
0,0,7.9929876
0,0,7.983404
0,0,7.721671
0,0,7.91603
0,0,7.9992137
0,0,7.6692786
0,10,10.648582
0,0,7.6213856
0,0,8.699526
0,0,9.491569
0,1,9.144717
0,0,7.813828
0,1,7.773668
0,1,9.027669
0,1,7.5224314
0,1,9.269298
0,3,10.026077
0,0,7.4416585
0,0,7.9162188
0,1,8.559941
0,0,8.640628
0,0,7.828859
0,0,8.059605
0,0,8.754525
0,0,7.830876
0,0,7.276247
0,0,7.9316
0,12,10.067621
0,1,8.299236
0,0,7.787078
0,0,7.8790436
0,0,7.595339
0,0,7.532735
0,0,7.5830956
0,0,7.680354
0,0,7.967547
0,0,7.4284773
0,0,8.342349
0,0,8.143942
0,0,8.116059
0,1,8.501345
0,1,8.327982
0,0,8.583711
0,0,7.6501603
0,0,7.7603707
0,3,9.528113
0,0,7.672357
0,0,7.8187385
0,0,8.081909
0,0,7.775232
0,2,8.648059
0,2,8.90209
0,0,7.5127454
0,1,9.397483
0,0,8.393716
0,0,7.464645
0,0,7.6655917
0,0,8.312483
0,0,7.7194333
0,0,7.5761485
0,0,8.315643
0,1,8.412415
0,0,7.962716
0,3,9.87997
0,0,7.8358116
0,1,7.732586
0,0,7.6004586
0,0,7.8855724
0,0,7.8286104
0,0,9.019746
0,1,8.163169
0,0,8.309317
0,0,7.657644
0,0,8.380662
0,1,8.8520355
0,0,7.325704
0,0,7.839549
0,0,7.6143103
0,0,7.454695
0,1,8.634784
0,0,7.7738137
0,0,7.6574087
0,2,9.649249
0,0,7.901571
0,0,7.517492
0,2,9.55708
0,0,7.9782596
0,1,8.595377
0,0,7.635417
0,0,8.621709
0,4,10.491656
0,2,9.035068
0,0,8.077563
0,0,7.7117214
0,0,7.766761
0,1,7.5426335
0,0,7.530192
0,0,7.472632
0,0,8.109325
0,2,9.896326
0,0,7.866829
0,1,9.705597
0,10,10.224758
0,0,8.785188
0,0,7.7326927
0,0,7.701743
0,0,7.779336
0,0,8.70871
0,0,7.8587456
0,0,8.23603
0,1,8.933407
0,0,7.449279
0,1,9.031563
0,0,7.5973315
0,0,8.9779215
0,5,9.944387
0,5,9.655032
0,0,8.2093
0,0,8.574161
0,0,7.489456
0,0,8.126278
0,0,8.171346
0,0,7.8220453
0,2,9.100914
0,0,8.000422
0,0,7.3290076
0,0,7.873252
0,0,7.7198863
0,0,7.817636
0,0,7.550323
0,0,8.187279
0,0,7.4190316
0,0,10.150059
0,0,7.508587
0,0,8.652543
0,0,9.641354
0,1,8.566883
0,0,7.859096
0,0,8.041005
0,1,8.088489
0,3,9.565562
0,1,8.037316
0,0,7.646242
0,0,7.831785
0,1,8.72581
0,0,8.068738
0,0,8.402508
0,0,7.619809
0,0,8.269534
0,0,7.6281486
0,0,7.941327
0,0,9.371074
0,0,7.8890595
0,2,9.146682
0,0,8.306375
0,0,7.9839196
0,0,8.0592375
0,0,7.367201
0,1,8.7980995
0,0,8.424248
0,0,7.70862
0,1,9.264781
0,1,8.376105
0,0,8.064553
0,0,7.5841017
0,0,8.2571745
0,0,7.6773343
0,0,7.6376295
0,1,8.636045
0,0,8.363058
0,0,8.0930805
0,0,8.511003
0,0,7.504922
0,0,7.9309044
0,0,7.8701386
0,0,7.52601
0,0,8.39012
0,0,8.267723
0,0,7.78181
0,1,8.596786
0,5,9.95172
0,0,7.3167114
0,0,7.64073
0,2,7.5867715
0,0,7.399196
0,0,7.5778036
0,5,10.164382
0,0,8.795043
0,0,9.3424835
0,0,7.845442
0,0,8.006908
0,0,7.566926
0,0,8.245151
0,1,9.029877
0,0,7.9553876
0,0,7.5965796
0,0,7.9973702
0,0,7.778554
0,0,7.7094374
0,0,7.685584
0,0,7.7113256
0,1,7.962805
0,0,8.544667
0,0,7.8693533
0,1,7.7650094
0,3,9.229824
0,0,8.278191
0,2,8.918793
0,1,9.276375
0,0,7.9963436
0,0,8.156883
0,0,7.8483453
0,0,8.422995
0,0,7.957218
0,1,8.364835
0,0,8.005877
0,0,8.498961
0,0,7.9468756
0,1,8.561127
0,0,7.7008452
0,0,7.4874697
0,1,8.136735
0,0,8.12805
0,1,9.478899
0,0,7.791714
0,2,7.726293
0,0,7.6102943
0,2,9.287521
0,0,7.7620625
0,0,7.6252627
0,0,7.575579
0,0,8.932979
0,0,8.737119
0,0,7.5846643
0,1,8.020233
0,2,8.754304
0,0,8.0971575
0,0,8.17803
0,0,7.403167
0,1,8.844193
0,0,7.9872556
0,0,8.361184
0,0,7.852967
0,0,8.483495
0,0,8.834195
0,4,9.833456
0,0,8.420101
0,0,7.6389995
0,1,7.784023
0,0,7.8261
0,0,8.138596
0,0,8.412612
0,0,7.6687884
0,1,8.88762
0,0,7.6939287
0,1,9.040626
0,0,7.505328
0,0,7.3559585
0,0,7.755627
0,2,7.60692
0,0,8.627907
0,1,7.6103735
0,0,9.491103
0,0,8.2706585
0,0,8.191001
0,0,8.497957
0,0,8.234965
0,0,8.674531
0,0,8.362861
0,0,7.6082907
0,1,7.7487493
0,1,8.726863
0,0,7.6424255
0,0,7.88488
0,1,8.461072
0,0,7.5958786
0,0,8.462641
0,2,9.0123625
0,1,8.074163
0,0,7.7494674
0,0,7.687792
0,0,8.141546
0,0,7.93609
0,0,7.8111134
0,0,8.825501
0,2,8.868387
0,0,7.916814
0,0,7.419419
0,0,7.8373103
0,0,7.9766493
0,0,7.9424005
0,0,7.9697013
0,0,8.7232685
0,0,8.965262
0,4,9.404417
0,3,9.850511
0,0,8.662159
0,0,8.004939
0,0,7.9349656
0,1,7.971218
0,0,8.00321
0,0,8.12532
0,1,9.027205
0,0,7.629134
0,1,8.04363
0,0,8.423881
0,0,8.04542
0,0,8.361152
0,0,8.006309
0,0,8.863169
0,0,8.373515
0,0,8.043665
0,1,8.219119
0,0,7.8402653
0,1,7.5686526
0,1,8.710241
0,0,7.6090665
0,0,7.8521347
0,0,8.111271
0,0,7.601712
0,0,7.8253765
0,0,8.25601
0,0,7.974647
0,2,8.559371
0,0,7.9019213
0,1,9.574464
0,2,8.041859
0,0,7.8935323
0,0,7.873398
0,0,7.823179
0,0,8.168423
0,2,9.648436
0,2,8.235251
0,0,7.8992543
0,0,7.6783786
0,0,8.221415
0,0,8.321781
0,2,7.9956503
0,1,7.3020725
0,1,8.132513
0,0,7.8234186
0,1,8.378965
0,0,8.021031
0,0,8.5998
0,0,8.0053005
0,0,7.887168
0,0,7.474781
0,0,8.634885
0,6,10.256581
0,0,7.6880627
0,0,8.052012
0,0,7.85667
0,0,7.7242465
0,0,8.384048
0,6,10.193743
0,0,7.3126116
0,1,8.581538
0,0,7.6975913
0,0,7.624175
0,0,8.471003
0,0,8.932771
0,0,7.7639537
0,0,9.156385
0,1,7.961869
0,0,7.88158
0,0,7.6606517
0,0,7.441153
0,0,7.9220743
0,1,8.671063
